block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_mint,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw,amm_fee_amount_raw
248399093,2EoNUM522SKs2xh5biMg4fPUX18UKWNEdmHHaMz7A5jQMZHZuVREvLh4BGy8Qut4bzh4uEt5vQR8gEhcqHPYQ5Yf,77B9GehGft2nCU6Juqgv4udYGAogfngvLg3dv7T2zMTs,4DFnWHV34PBadNMMhxNLbuMPyJXneqXpX24hZa5oCQyy,3,0,AJFTpBnxaxTjGLUM8o9id8VPtJFjP4rRHtnukGuVkkp7,2531200000,63280000,-6328000,0,0
183282711,2HH83g6WeH3heS5JFyuU9g7HMcX2ZmnLCyerhsSdRnYyg65HrT3syAA3evDkQRAdMxbzyuLY6uMcD87pB35fuXZ9,EeTQ4ZpghiKXzLqiFkTViok377oMgSEbKgqYsGtxg4Nc,ZKtgm6DNBZPJPdfNrejQKW58KxNuz85ESqGtQrhCEHX,2,0,5ysy4oVKdBZ1tZSB4AgrVLSRxEWcpzQS8HeSyMSqDmAH,55800000,837000,0,3906000,4464000
248399111,2ZBNhDgFpvV55cfPZB6i469pa9dQpU2JSdP37wMj3Kbtkxpq4LwvhH5EpdGj4jmPRc9gKLruhoMebdvavHs5Zvem,AQzj5vqR5LKQYNXTLxL1EKyY6tLaLNhNoDEBytpip9Tr,BPdHNMTwuM95Hxck6w3CUNtkXCV6rqRaduiv4Mbtbdbi,2,0,BkeYbMNVxu2b9tQjt8YvwY8ZCwA9qxji14a7ero8jva4,178540534,4463513.35,0,0,0
248411374,3cXM9Vc1zVjUSkHvUyvAjXers6Vt5oiAtHLhdJNVntAfNPd5Z9RTntZDvdmcgoPb9AW4vVjMAJn5jsu1ryyfht8f,Ek9MFPUKT16i9LmTkfFFKv4djoEyjG25Lh31ii8Mcg9w,GKqTBoA7BMZYW4x3UD89irvEb16YBMxUEgc18nmoqLHV,3,0,9Q3Qc2FZQ698groEVZtsNhwztXbZhRZJaFFXeoXHbrUh,3570350000,89258750,0,178517500,178517500
179980659,3KpU6kQKHELCxtPU8X3aUQfwB7uKzHTBSYDEkf9erZqXVsnz35bw8MjC9qyBb43ohuEWv47M8JfyfDRQmt3jnris,2XKLcMgSnHtjYuVP4xBmhvUg1suyNhyBqFPwV16WqRon,ZKtgm6DNBZPJPdfNrejQKW58KxNuz85ESqGtQrhCEHX,2,0,FpqQ6ywdGvjPY42h1tfTeq7X648T6josDBPjDiVKNKMq,78800000,1142600,0,5516000,6304000
248399075,3r8dHG63XtxQYutnrhkeSsj1S5yGQhmUjYFceZ9y5DWWy6AuPA7dvJy9k8vkoVgtc8noNsV3aUKTWSyBX85goWJu,DMqUqtp2dxTFL1EX9p4yRM5NBh7nWjRrdKJRy2eayoCK,9VxeVwxj5kKhfb1Kicu6dYi2Heutc2MNq6S5pHDum4Bq,2,0,BL4dxi1uZ66in9C8Cbe8i88BV9yrYzP2L5smwSmPzTEs,1984710021,49617750.53,0,94510001,0
248405136,3xNP3YP79fTjcdj1CGmgUjURZ831nmokZxMizD7HZH1v5Q4qmV4r6YzFcgd3xdQgerVVgv3NHik1pdPWEpWMBG4E,A7925QHgsJozUZW2qhMAEC722C1sxp8P91MXkycQXdeu,44vsczQhVRDmqZfKgoQGgyzdvKp5AAqAhuUNiGvw7e5Y,3,0,GZ5LmaSkoK3CLXKAuWHFKVKD7JkRoJT1Ar4xpkajZHsA,99750000,2493750,0,4750000,0
248415067,3YvdndH9srM12kW84mCegFnGPHFHWarSKSCFuRfw6k8ir86LmHknGqsDnBqERYcM5uWwmrUFeyYx1eUyPVvW6YXj,4GEz3RAp1A2zLyCg9kCYX3U7o8P9UbmtfnmGdwQekj3S,2jwVXX5FFFpcFgLAk82XyKUYtk9k5gJAxN1p1z5upxmK,2,0,2GHfk6yuXWwmpehwvrjpWeeRZEgB7QoQK8VcZqBs94jB,171607585,3861170.662,-429018.9625,0,0
248415067,4jMh3FGoTHCvvn1XYTbvfjiUerKbQXRNGWFnJFp3CpX1TTiZvqpyAmk6DCYgfdwZ6MrpexYtzotAjv4cZcZ8GRYa,4GEz3RAp1A2zLyCg9kCYX3U7o8P9UbmtfnmGdwQekj3S,GDTkyEUirnwxe5CS3NWhphSn9kyKAwx9HT2omiBZMh8w,2,0,9FhsieZaLfxErAtskFUfcyQd4adTMcj5KvCVKZKhxpei,174149847,3918371.557,0,0,0
248400359,4RD6LCmHUNoUsEMSpBmWmN5SyS2MfErM8jxZkj5KouEdDNKxzY8mRPAbC2dEyTpEvuzCb3BWaHSjzEVaBhsfdL1Z,3Hi1UQ1SyyKJb6RwqxuuxbaV18CPCB4QW7rAW5ym5N1Z,27BxDUY9TTtncXhe77wijGNXyNZvnkwUKhV9wWSaYcsS,3,0,4Q18Lop2bnJQtR97w5C2HjsY5HKfREL24AFmUaEsXZyt,641550000,16038750,0,30550000,0
248400243,4xRnoCseMzWMXi4bwPC5uxbDKNFMRuyffMibHow2FQrG97UPhTXj4uxN1B4FgYPvAVQuHhNitcYQYD56hsZFLf2U,NTYeYJ1wr4bpM5xo6zx5En44SvJFAd35zTxxNoERYqd,2jwVXX5FFFpcFgLAk82XyKUYtk9k5gJAxN1p1z5upxmK,4,4,2GJTQPFj6Tmkr7NjenN37rkxbWFZu2GN9povBym6dAKU,323324652,8083116.3,-808311.63,16166232,0
248415458,5fczpVveFyevz7Hs79CJzwqriuKwJ3oJDLzwkLLQc4XkqfxvBLcvo5GotMSvd7RwSZoWYWc2NyVESixJiBDrj7h2,7kJ8gM9QzgABuQz8Foyh252WsrgfbRoQVK58d6uyrjSP,H6AqbRsoWdYZ6kAMDUtwxyhmDGiKAW9i5oaB3NBkXvGF,2,0,ADTwiHaY2Hur7Y5MLcGc4BWxUAoKQzXrv8g5jx3NZvvB,172430397,4310759.925,0,0,17243
185321804,5wxuCMZbNuZX734tE9ZLHV76BQqFpP1CYjzmzVV2RaErrbaBg1ugNMMq44KTFvHQu3r5amw3Co92B2bCdU5zZX17,D8WGh3q7DRXqai45wRzNTKKNWN5NJPof66yNsB8kciYm,ZKtgm6DNBZPJPdfNrejQKW58KxNuz85ESqGtQrhCEHX,2,0,kc4FFvv4jTZntXF8gELM1V9uPM7Fa6bwZ2XpHJQJnuE,35800000,519100,0,2506000,2864000
201698210,5xkEySCFMTJtWyDQC8j6DihjqwBsAVM4Ce4ioqPiSr6zYUy5FjZY53P6xoKYabbCUQTCN7uR1DLPNftnTVEo4xSj,HBRJw1ZpFbk8p7oHrtV5rRe1S81PxuVQvXqW5UrMSMzj,AgAqfnW7uJTrhZXHC21obSKugNjgY1DGHR2hVTBeVvkq,2,0,1UoQAizUURMLnMQ3QMkhbQRXxnPzfv4JiButhDepNbV,4280000,64200,-10700,299600,0
248412015,hCAsNny85hZfmCkbEqhg1rU9MAAagfJ1RuAZZGpeymtWK4KxGnHLhgfZddYnhFfezXXvW9SebnRE3bsojdRQUKQ,GB8Ud9vToZqJArqcgDJuTVmUhHv5eXj9RFzzmMMQRC6T,7Fq9M8wtkU3PwGYuTikXAHQinjdJUJntbw8xYKvQAJm8,3,0,AKsbNXMoYzwLJaeYhmLXPZh7ZEbWfKhinoQN7bUaiJaA,155000000,3487500,0,7750000,0
248404165,Hdz3nkict2TK1Use8xTEbcLEWxY1j3jTxJN6qDcNLjMnHvfkYyuEfZYpHi6XyePA2FtbyrTV3FZrxJU2BS6ceVD,5XkHPqK1cfGd1j4z4BdJhkechR2fAccZErZU9JoBtSEn,6GX4byAuMg2Tnsah9H3J1NTJZ6anY6T2KzKX33J9Gg4X,3,0,FonmMBucryM8F4qadRyCz6X2jSU4baN2JUGzWM1Yx1EW,43260000,1081500,0,2060000,0
248402134,mJ2EUxPw8o8uFRxPCMDJCG4YWcTAh2XqiVmq6gTuxoek3UodfXZbvcCuuLsA6STy71HsSkYvMyFBhsz3bVeiLot,7egV86pVn5fupiTNF1P3hcX4h3JNyZVreRQte2cByW8q,H22U2AXNxpBQ6nwEm2K8XMrBictMhNZPDCWYYTZBhZcM,3,0,5bpwymnKce2QkMen3a7SL3kPaEj4Ga8mroBRQTMqhKV2,640500000,16012500,0,30500000,0
248399586,XvV6TMEdbq7rt9883v6jLWaxMtExBfihTt739tfHiiDDKahaoYRhbmc54eZaMpWNZAGUMKPzDgogRcR3fVwBDsN,FNBb12zch5XdYXy2ahYHWopbmDat9HmQYdJTiuB9qXLF,4L9jNgMKNA7SAdsN6qHqGVPj7TD8T5eSE84gM6yuinn8,3,0,EVu2ir5jYFYjiaTq163tjFYeGNMYpuAzWmoZLHg2rpJh,116655000,2624737.5,-291637.5,5555000,0
