block_slot,tx_id,buyer,seller,outer_instruction_index,inner_instruction_index,account_merkle_tree,leaf_id,amount_raw,taker_fee_amount_raw,maker_fee_amount_raw,royalty_fee_amount_raw
217420013,4YmYPnm3CvtehMWiGTk6s4mu1TtHQaXi9jYXC95FEZFkMnLDJUbVj1R2HgPC8kihni99UPzkfvg7cffp3HiqvHNb,3uA8BsWHpY5EGsA8weA5nu54zzAvnAiDmc4iiWdbrAmx,2XZkYeKA2tMNc4AtwtCr4tDigJZX92ZLyUSDKVLPdH19,3,0,4gcgGDUqyUQZRzA3MDKGAJARq8qzUpeJ4NMsHtPngjxM,2003,16275000000,227850000,0,488250000
216748596,3ZL1cmXZkKmL2xoEKGCzq5LwVVVFi57Ve4ibgJCAU5ZYpjZZmYiBZ44vrJHAEcaRUVRYF52LBnPHoLqbBJ6xaNr3,8CTm9fkJDjF8PjAHfDYXXzMAUXdSisYUTWsEgR3E79mR,4G8361Vy3Zq6JjPVMaBtZWiYKr4CEzmidA9BNmcRDruE,3,0,4gcgGDUqyUQZRzA3MDKGAJARq8qzUpeJ4NMsHtPngjxM,612,17000000000,238000000,0,510000000
217724166,5iYRwYLJPkyFcauScsShJoSytXbdkrjHUAkWjTNC6zjtRYUPcHU9SdhwkhDaMLK9sLvG3e94RpBqXb9azuFKtmBv,6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,dJmEe8vEk55zxCMuGgMgirSTmDGjZpysH2MsvKwUA15,3,0,GzHthi3aLRMnijr3xPmXZG7Pj5wPYC2VCCJzMBEXfEsM,26872,7000000,98000,0,175000
217724209,2Wn2fmgLN43AXsNgMcz7JL5cSgCHkxvbbhiSc6U3FVHu6REsBcBGBRSZjnvBFLhcDC7JLohYt3fnS45YCvEJLDwn,6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,7Hxm6bKDH3wEYfgaL1wiWpjV6QW3QsjF9Ds2aqEwZMJf,3,0,GzHthi3aLRMnijr3xPmXZG7Pj5wPYC2VCCJzMBEXfEsM,34217,10000000,140000,0,250000
217724209,5VsC4TeMP5xahtb7AHn7ZqbAwpu3v2iBZUKUkiTEGcbsUVvHcAwhbxMh7M1rzhTB1qkhpzhbRZF1QB1hEu76qNgt,6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,7r3kTJtbCyVVRqy6ct61fLHkBT7KW2KtsDTeofaxMAdu,3,0,GzHthi3aLRMnijr3xPmXZG7Pj5wPYC2VCCJzMBEXfEsM,24641,10000000,140000,0,250000
217724209,2QEsewi2CLZnF7P9FQAYvT7MKeEtuu56H1Fo9ZMBBfUR1Kwt5CSFu9tD2mjwT5FLd7Wt4VAtdcSiZvRXkYkVYbxL,6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,qKEWWh7MSTBuFVAZ6kiMQKvCwMTsi7wyJXCNcytinwE,3,0,GzHthi3aLRMnijr3xPmXZG7Pj5wPYC2VCCJzMBEXfEsM,27936,14999000,209986,0,374975
217724210,62M4AZSgQSxQbdTDT8EZhxZjLwFKd7MQ34xPP3S81ZKHigNY5TGZP5j2A4K6A2wTkMkUzqFnYiCuANFEfwCynAJ5,6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,y97csEtDUUYHxY4e77Vtm8iEbH1rSehyh6aCSqhi8oK,3,0,GzHthi3aLRMnijr3xPmXZG7Pj5wPYC2VCCJzMBEXfEsM,19810,10000000,140000,0,250000
217724210,2hFvpx8oPKJSRgQvAwxFRbFuDWdLfuvgqtUmtGgbYZK4cUm9XLMU7kuU6oHnwimDbEESCY97H63eQsNVn7FtW8Vy,6oRHRnLX93bYeTN5YD2XHqskhbv8wN2pgSia9Kz3QkED,qKEWWh7MSTBuFVAZ6kiMQKvCwMTsi7wyJXCNcytinwE,3,0,GzHthi3aLRMnijr3xPmXZG7Pj5wPYC2VCCJzMBEXfEsM,27780,9999000,139986,0,249975
221543650,TxmpU51QSduoNnpu4ekbGon3AnnuUt9zSmfk5T8R2GQ997TaKM6BSEMpi8xTCrhs5geSWEbDDgm397BtFrcetQ8,31tyATEXQ7DBGx2nFiu9sYNFY6fVV8YAxKHx7mWt4b3z,2vyGVPqJef9KQ8paDpRCqq5KTszxGhSVGNZFXM6nqi4B,3,0,DdSxzw5TdQHWT8o47uf5ksJVJM4eqjpLM5tQfDXWaGX5,97,139900000,1958600,0,3497500
219308081,53GSQJKg1nQudBwBxxmGDsXRarKaLn1cjDcgrFEwNzyYuQnrJ7ZCieekqBZ28PQKoFJruFVyDiMK1SFYtCka3tZY,B8246m9WDSX3bBUQzSwMZzLXqYAjq1VAjYuUQn4wqm45,G7oauV937NuXhYHVYgvAcgQsnoc8wHEyBHuNbgvoCoD8,3,0,9kQaT7Gg3EsFm8P51Gz9vBu1dyPTZxWWCGd6rACDgED,7546,44000000,616000,0,0