tx_hash,block_number,evt_index,contract_address,block_time,maker,taker,taker_token,taker_symbol,maker_token,maker_symbol,token_pair,taker_token_amount,taker_token_amount_raw,maker_token_amount,maker_token_amount_raw,type,affiliate_address,swap_flag,matcha_limit_order_flag,volume_usd,tx_from,tx_to
0xdda805cdcfd8a801e6a38afcae11db4d1b6f1394bfa321c3558a7ac2bb103a0b,20782498,41,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 11:35,0x0000000255626553776170000000000000000000,0x432866c385185a1dd133b2b159bb2c023cd3d45a,0x90ca507a5d4458a4c6c6249d186b6dcb02a5bccd,,0x471ece3750da237f93b8e339c536989b8978a438,,,,1569499803545764608,,11977801219110507,NewBridgeFill,0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,TRUE,FALSE,,0x432866c385185a1dd133b2b159bb2c023cd3d45a,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0x057df29d8cf351ff2db9f14dd3477d45b996aedfb16be3610fbc26615938de6c,20770981,31,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-08 19:36,0x0000000255626553776170000000000000000000,0xc50632240a8ec1679912600d38992a521c9b87f8,0xe273ad7ee11dcfaa87383ad5977ee1504ac07568,,0x918146359264c492bd6934071c6bd31c854edbc3,,,,6.88561E+21,,29005420210282728921,NewBridgeFill,0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,TRUE,FALSE,,0xc50632240a8ec1679912600d38992a521c9b87f8,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0x82c1511e8b1bf6676915a89b584c64ab89b5c61c327bc3cdf2ce96013b7b5496,20781219,70,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 9:49,0x0000000255626553776170000000000000000000,0x221ed7a3bcc331536c3bc1d7f1406ded8cdf8d76,0x2879bfd5e7c4ef331384e908aaa3bd3014b703fa,,0x74c0c58b99b68cf16a717279ac2d056a34ba2bfe,,,,129201718993407355849984,,289636175194976549,NewBridgeFill,0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,TRUE,FALSE,,0x221ed7a3bcc331536c3bc1d7f1406ded8cdf8d76,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0x4573a9e854772af5fc840685b5935e7c8e527a409ec671691df1afa89bc90a4e,20774942,12,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 1:06,0x0000000255626553776170000000000000000000,0xc1a8c95cdf165605b3e1170fa6fd061d88a7a465,0x471ece3750da237f93b8e339c536989b8978a438,,0x173234922eb27d5138c5e481be9df5261faed450,,,,79715807749810974720,,6513288774967139,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0xc1a8c95cdf165605b3e1170fa6fd061d88a7a465,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xd4cbb5d9228e11eb9185c64fe574a16bf71391331ff99300dd02418eea4ee6e4,20780990,33,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 9:30,0x0000000255626553776170000000000000000000,0x221ed7a3bcc331536c3bc1d7f1406ded8cdf8d76,0x73a210637f6f6b7005512677ba6b3c96bb4aa44b,,0x2879bfd5e7c4ef331384e908aaa3bd3014b703fa,,,,77092091928452446780928,,554694214817997483789,NewBridgeFill,0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,TRUE,FALSE,,0x221ed7a3bcc331536c3bc1d7f1406ded8cdf8d76,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xdd5cbed0d42ab421c29615e9821819ff04be5c14a4f7362af42ed3ababebf7b1,20774914,39,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 1:03,0x0000000255626553776170000000000000000000,0xc1a8c95cdf165605b3e1170fa6fd061d88a7a465,0x471ece3750da237f93b8e339c536989b8978a438,,0x173234922eb27d5138c5e481be9df5261faed450,,,,14527907509119349464064,,1193272364256864587,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0xc1a8c95cdf165605b3e1170fa6fd061d88a7a465,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xad1b60b4728b58b498b1d28a99bb782236d92864e545deed5cef9cef88ad2d1e,20785596,39,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 15:53,0x0000000255626553776170000000000000000000,0x235724a752d778c00859dc56530349d436a4c21a,0x471ece3750da237f93b8e339c536989b8978a438,,0xc16b81af351ba9e64c1a069e3ab18c244a1e3049,,,,82642853305354969344,,150736450724062938,NewBridgeFill,0x08a3c2a819e3de7aca384c798269b3ce1cd0e437,TRUE,FALSE,,0x235724a752d778c00859dc56530349d436a4c21a,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0x84dc24d5310566d2e3fc904f97e1eaba432eb96059e9a7a65a93b8db71c5f2fb,20784602,45,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 14:31,0x0000000255626553776170000000000000000000,0xaabf4d3a871b2b12b071a67d4c6ef4e6f4070287,0x765de816845861e75a25fca122bb6898b8b1282a,,0x471ece3750da237f93b8e339c536989b8978a438,,,,4.78336E+22,,368349839675048394494,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0xaabf4d3a871b2b12b071a67d4c6ef4e6f4070287,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0x84dc24d5310566d2e3fc904f97e1eaba432eb96059e9a7a65a93b8db71c5f2fb,20784602,54,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-09 14:31,0x0000000255626553776170000000000000000000,0xaabf4d3a871b2b12b071a67d4c6ef4e6f4070287,0x765de816845861e75a25fca122bb6898b8b1282a,,0x471ece3750da237f93b8e339c536989b8978a438,,,,3.8784E+21,,29827859330325408555,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0xaabf4d3a871b2b12b071a67d4c6ef4e6f4070287,0xdef1c0ded9bec7f1a1670819833240f027b25eff
0xf6a5f6b8d885239a52fb69b26be649acc58df1d7d401aff7d617854c8bd88bee,20771911,31,0xdb6f1920a889355780af7570773609bd8cb1f498,2023-08-08 20:53,0x0000000255626553776170000000000000000000,0x4c8fb973e75ddda03ecad8792bce9ed1e9969e52,0x765de816845861e75a25fca122bb6898b8b1282a,,0x471ece3750da237f93b8e339c536989b8978a438,,,,60121389041599886722304,,460861110351517756221,NewBridgeFill,0x1000000000000000000000000000000000000011,TRUE,FALSE,,0x4c8fb973e75ddda03ecad8792bce9ed1e9969e52,0xdef1c0ded9bec7f1a1670819833240f027b25eff